grid_id,lon,lat,obs_density,species_richness,threat_mean,migration_ratio
1_101,-8.90956353691036,44.93949156788374,0.0,0.0,0.0,0.0
1_102,-8.909563536910358,45.25654774182093,0.0,0.0,0.0,0.0
1_103,-8.909563536910358,45.571843494748805,0.0,0.0,0.0,0.0
1_104,-8.909563536910358,45.88537910619925,0.0,0.0,0.0,0.0
1_105,-8.90956353691036,46.19715506556549,0.0,0.0,0.0,0.0
1_106,-8.90956353691036,46.50717206849493,0.0,0.0,0.0,0.0
1_107,-8.909563536910358,46.81543101328113,0.0,0.0,0.0,0.0
1_108,-8.90956353691036,47.12193299725701,0.0,0.0,0.0,0.0
1_109,-8.90956353691036,47.42667931319162,0.0,0.0,0.0,0.0
1_110,-8.909563536910358,47.729671445691764,0.0,0.0,0.0,0.0
1_111,-8.90956353691036,48.030911067610674,0.0,0.0,0.0,0.0
1_112,-8.909563536910358,48.3304000364656,0.0,0.0,0.0,0.0
1_113,-8.909563536910358,48.62814039086563,0.0,0.0,0.0,0.0
1_114,-8.90956353691036,48.92413434695171,0.0,0.0,0.0,0.0
1_115,-8.909563536910358,49.21838429485039,0.0,0.0,0.0,0.0
1_116,-8.90956353691036,49.51089279514272,0.0,0.0,0.0,0.0
1_117,-8.90956353691036,49.80166257534988,0.0,0.0,0.0,0.0
1_118,-8.90956353691036,50.090696526436886,0.0,0.0,0.0,0.0
1_119,-8.909563536910358,50.377997699335765,0.0,0.0,0.0,0.0
1_120,-8.909563536910358,50.66356930148953,0.0,0.0,0.0,0.0
1_121,-8.90956353691036,50.94741469341808,0.0,0.0,0.0,0.0
1_122,-8.90956353691036,51.22953738530738,0.0,0.0,0.0,0.0
1_123,-8.90956353691036,51.50994103362292,0.0,0.0,0.0,0.0
1_124,-8.909563536910358,51.7886294377486,0.0,0.0,0.0,0.0
1_125,-8.90956353691036,52.06560653665203,0.0,0.0,0.0,0.0
1_126,-8.90956353691036,52.340876405577305,0.0,0.0,0.0,0.0
1_127,-8.90956353691036,52.614443252766186,0.0,0.0,0.0,0.0
1_128,-8.909563536910358,52.88631141620825,0.0,0.0,0.0,0.0
1_129,-8.90956353691036,53.15648536042149,0.0,0.0,0.0,0.0
1_130,-8.90956353691036,53.42496967326339,0.0,0.0,0.0,0.0
1_131,-8.90956353691036,53.691769062773815,0.0,0.0,0.0,0.0
1_132,-8.90956353691036,53.95688835405012,0.0,0.0,0.0,0.0
1_133,-8.90956353691036,54.22033248615508,0.0,0.0,0.0,0.0
1_134,-8.909563536910358,54.482106509058454,0.0,0.0,0.0,0.0
1_135,-8.909563536910362,54.74221558061265,0.0,0.0,0.0,0.0
1_136,-8.90956353691036,55.00066496356278,0.0,0.0,0.0,0.0
1_137,-8.90956353691036,55.25746002259214,0.0,0.0,0.0,0.0
1_138,-8.90956353691036,55.51260622140277,0.0,0.0,0.0,0.0
1_139,-8.90956353691036,55.76610911983243,0.0,0.0,0.0,0.0
1_140,-8.90956353691036,56.01797437100746,0.0,0.0,0.0,0.0
1_141,-8.90956353691036,56.2682077185324,0.0,0.0,0.0,0.0
1_142,-8.909563536910358,56.51681499371662,0.0,0.0,0.0,0.0
1_143,-8.90956353691036,56.763802112837894,0.0,0.0,0.0,0.0
1_144,-8.909563536910358,57.00917507444361,0.0,0.0,0.0,0.0
1_145,-8.90956353691036,57.252939956689374,0.0,0.0,0.0,0.0
1_146,-8.90956353691036,57.4951029147155,0.0,0.0,0.0,0.0
1_147,-8.909563536910358,57.73567017806133,0.0,0.0,0.0,0.0
1_148,-8.90956353691036,57.97464804811757,0.0,0.0,0.0,0.0
1_149,-8.90956353691036,58.21204289561663,0.0,0.0,0.0,0.0
1_150,-8.909563536910358,58.44786115816131,0.0,0.0,0.0,0.0
1_151,-8.909563536910358,58.682109337791246,0.0,0.0,0.0,0.0
1_152,-8.90956353691036,58.914793998587996,0.0,0.0,0.0,0.0
1_153,-8.90956353691036,59.14592176431787,0.0,0.0,0.0,0.0
1_154,-8.90956353691036,59.37549931611293,0.0,0.0,0.0,0.0
1_155,-8.90956353691036,59.60353339019022,0.0,0.0,0.0,0.0
1_156,-8.90956353691036,59.83003077560864,0.0,0.0,0.0,0.0
1_157,-8.90956353691036,60.054998312063795,0.0,0.0,0.0,0.0
1_158,-8.90956353691036,60.27844288772053,0.0,0.0,0.0,0.0
2_0,-8.460405894850599,5.04228914584197,0.0,0.0,0.0,0.0
2_1,-8.460405894850599,5.489546542159398,0.0,0.0,0.0,0.0
2_2,-8.460405894850599,5.936468661662052,0.0,0.0,0.0,0.0
