grid_id,obs_density,species_richness,migration_ratio,latitude,longitude
17_6,175,4,0.4285714285714285,8.902684943528312,76.47674773604581
17_60,1,1,1.0,31.478544365913102,76.47674773604581
17_62,17,1,0.6470588235294118,32.24150961365274,76.47674773604581
17_63,1,1,0.0,32.62061417279348,76.47674773604581
17_68,2,1,1.0,34.49197000246,76.47674773604581
17_7,72,3,0.5694444444444444,9.34615791751325,76.47674773604582
17_8,104,4,0.5096153846153846,9.789066678366634,76.47674773604581
17_9,87,1,0.264367816091954,10.231385512182252,76.47674773604581
18_0,2,1,0.0,6.231458834326362,76.92590537810557
18_1,1,1,0.0,6.677768206359395,76.92590537810557
18_10,1,1,0.0,10.673088880017286,76.92590537810557
18_11,27,1,0.1851851851851851,11.114151424867142,76.92590537810557
18_12,77,1,0.4935064935064935,11.554547978511469,76.92590537810557
18_13,16,1,0.375,11.994253568227144,76.92590537810557
18_14,12,1,0.5,12.433243423364331,76.92590537810557
18_15,2,1,0.5,12.871492981781698,76.92590537810557
18_16,1,1,0.0,13.308977896137208,76.92590537810557
18_24,1,1,0.0,16.778483950622768,76.92590537810557
18_29,4,1,1.0,18.916048153171918,76.92590537810557
18_33,3,1,0.0,20.606795505313503,76.92590537810557
18_35,10,1,0.0,21.445288967716728,76.92590537810557
18_36,9,1,0.1111111111111111,21.862747893608542,76.92590537810557
18_4,1,1,1.0,8.014150043889725,76.92590537810557
18_5,25,3,0.2,8.458673638182125,76.92590537810557
18_52,195,1,0.4564102564102564,28.364874075242138,76.92590537810557
18_53,36,2,0.1944444444444444,28.75936765623235,76.92590537810557
18_54,4,1,1.0,29.15237613428415,76.92590537810557
18_57,1,1,0.0,30.32236429516476,76.92590537810557
18_58,28,1,0.3571428571428571,30.709307349603503,76.92590537810557
18_59,10,1,1.0,31.09470443671294,76.92590537810557
18_6,8,1,0.25,8.902684943528312,76.92590537810557
18_60,2,1,0.0,31.478544365913102,76.92590537810557
18_61,11,1,0.9090909090909092,31.86081627193491,76.92590537810557
18_63,12,1,0.75,32.62061417279348,76.92590537810557
18_65,3,1,0.3333333333333333,33.37401767593068,76.92590537810557
18_67,6,1,0.6666666666666666,34.120951435694295,76.92590537810557
18_68,5,1,0.0,34.49197000246,76.92590537810557
18_69,2,2,1.0,34.86134516989155,76.92590537810557
18_7,14,1,0.0714285714285714,9.34615791751325,76.92590537810557
18_8,14,1,0.2142857142857142,9.789066678366634,76.92590537810557
18_9,70,2,0.3571428571428571,10.231385512182252,76.92590537810557
19_1,1,1,0.0,6.677768206359395,77.37506302016533
19_11,2,1,1.0,11.114151424867142,77.37506302016533
19_12,3,1,0.6666666666666666,11.554547978511469,77.37506302016533
19_14,20,1,0.25,12.433243423364331,77.37506302016533
19_15,125,1,0.328,12.871492981781698,77.37506302016533
19_16,37,1,0.1081081081081081,13.308977896137208,77.37506302016533
19_17,10,1,0.5,13.745674040031027,77.37506302016533
19_23,2,1,1.0,16.347964961207236,77.37506302016533
19_26,1,1,0.0,17.63658061663447,77.37506302016533
19_27,2,1,0.5,18.06411479211288,77.37506302016533
19_29,1,1,1.0,18.916048153171918,77.37506302016533
19_35,3,1,0.0,21.445288967716728,77.37506302016533
19_37,3,1,0.0,22.27898995572114,77.37506302016533
19_39,13,1,0.6153846153846154,23.10775037770492,77.37506302016533
19_4,32,2,0.84375,8.014150043889725,77.37506302016533
19_40,3,1,1.0,23.520232969502963,77.37506302016533
19_47,2,1,0.5,26.370601756536594,77.37506302016533
19_48,1,1,0.0,26.77231686184259,77.37506302016533
19_49,96,1,0.1458333333333333,27.172615960128685,77.37506302016533
19_5,6,1,0.5,8.458673638182125,77.37506302016533
19_50,3,1,0.3333333333333333,27.571484572845726,77.37506302016533
19_51,2,1,0.0,27.968908550971424,77.37506302016533
19_52,87,1,0.6551724137931034,28.364874075242138,77.37506302016533
19_53,42,1,0.2857142857142857,28.75936765623235,77.37506302016533
19_57,3,1,0.0,30.32236429516476,77.37506302016533
19_58,3,1,1.0,30.709307349603503,77.37506302016533
19_59,23,1,0.7391304347826086,31.09470443671294,77.37506302016533
19_6,11,1,0.2727272727272727,8.902684943528312,77.37506302016533
19_60,9,1,0.5555555555555556,31.478544365913102,77.37506302016533
19_62,13,1,0.8461538461538461,32.24150961365274,77.37506302016533
19_63,9,1,0.6666666666666666,32.62061417279348,77.37506302016533
19_64,1,1,1.0,32.99812005252553,77.37506302016533
19_66,32,1,0.4375,33.74829778436251,77.37506302016533
19_67,120,2,0.7,34.120951435694295,77.37506302016533
19_68,14,1,0.7857142857142857,34.49197000246,77.37506302016533
19_69,5,1,0.8,34.86134516989155,77.37506302016533
19_7,10,1,0.4,9.34615791751325,77.37506302016533
19_8,16,1,0.0625,9.789066678366634,77.37506302016533
19_9,24,1,0.7916666666666666,10.231385512182252,77.37506302016533
1_36,1,1,0.0,21.862747893608542,69.29022546308964
1_37,7,3,0.4285714285714285,22.27898995572114,69.29022546308964
1_38,23,3,0.217391304347826,22.69399679781292,69.29022546308964
1_39,8,1,0.375,23.10775037770492,69.29022546308964
1_40,57,2,0.1403508771929824,23.520232969502963,69.29022546308964
1_41,3,1,0.0,23.931427165645363,69.29022546308964
20_0,1,1,0.0,6.231458834326362,77.82422066222509
20_11,15,1,0.2666666666666666,11.114151424867142,77.82422066222509
